gambar,contrast,correlation,energy,homogeneity,dissimilarity,asm,kondisi
28.1.jpg,5.892358331844363,0.9987308468849675,0.12763119354759525,0.8799469289790467,0.5086812960956631,0.016289721566383718,Healty
8.3.jpg,23.291914326230003,0.9943497387777833,0.08966488051154049,0.8625282571729278,0.6857005198139701,0.008039790797148835,Healty
26.5.jpg,3.7936231126662956,0.9990081011545245,0.17422285898111342,0.9137408442848717,0.35135985110991075,0.030353604591552938,Healty
2.3.jpg,33.86525891032202,0.9944186009669597,0.08347957093447163,0.8269581144290017,1.0836055652008663,0.00696883876340348,Healty
15.1.jpg,5.204838514775916,0.9991334762287003,0.17202438378705737,0.8551546215169284,0.5680287038940088,0.02959238861731681,Healty
24.4.jpg,2.1172903232473548,0.999650419784584,0.18838327211418418,0.877862648159461,0.42777622767857143,0.035488257212446764,Healty
9.5.jpg,9.954736008245968,0.9973725618969492,0.10569279612108304,0.8683896671311238,0.583198637515221,0.011170967151892825,Healty
24.8.jpg,7.236633096853954,0.9981055973600644,0.11475979223022577,0.8940407556128013,0.43618981420756003,0.013169809912724588,Healty
16.7.jpg,23.366502931635118,0.9931798971537753,0.0971309813245688,0.8848017069685369,0.6151347147529878,0.009434427533073731,Healty
4.1.jpg,4.313239299299444,0.9990236884158896,0.17661580511017236,0.8776086059794672,0.4788144564675165,0.031193142614714387,Healty
13.7.jpg,16.899705235630755,0.9949950457231792,0.09687851049146722,0.8787979478122571,0.5777397129404037,0.009385445795045322,Healty
6.5.jpg,20.16461330191799,0.9965088885750386,0.12761366389972917,0.851425590065331,0.7676008597883596,0.01628524721391304,Healty
23.1.jpg,19.4453125,0.9941717223231191,0.11266995854985379,0.8649189737455982,0.716301876653439,0.01269451955962577,Healty
23.4.jpg,5.3323241044750675,0.9992004554900393,0.15724829681250643,0.895464377701427,0.45482999408199076,0.024727026850434118,Healty
4.6.jpg,8.112503100198413,0.9978880031286427,0.10495714007996469,0.8242860317926157,0.6517495453042327,0.011016001253765331,Healty
21.3.jpg,18.73877979531744,0.9955395364873838,0.09101761473275376,0.877415287101927,0.6330116470139874,0.008284206191639994,Healty
10.4.jpg,1.816164951223545,0.9997734284925536,0.2667051992432089,0.8614773636865852,0.4361612309854497,0.07113166330335977,Healty
19.8.jpg,6.144074089757506,0.9983891938070574,0.15176456950245557,0.8912152165611364,0.4266771049470633,0.023032484556265664,Healty
2.6.jpg,6.423287140376985,0.9983390610411498,0.13765132393263263,0.8090071934341857,0.6890454489087301,0.01894788698040656,Healty
8.8.jpg,4.851751803030475,0.9988352750882169,0.14472552264268382,0.8731034410168008,0.4637111391806294,0.02094547690419799,Healty
18.5.jpg,2.2960409241183144,0.9990228661203727,0.11646518708651797,0.9035771933080096,0.30956765482617266,0.013564139803097633,Healty
12.4.jpg,1.9851133639219576,0.9996888478002568,0.20633565274976562,0.887720144397766,0.37372220155423275,0.04257440159567186,Healty
19.3.jpg,20.317052438932446,0.9955680698994848,0.11152191494127331,0.8757208947242093,0.648491940456358,0.012437137512168598,Healty
10.2.jpg,4.530704966066981,0.9994844298601959,0.24724064758981001,0.7625705751663961,0.786338177562999,0.061127937820628635,Healty
8.7.jpg,21.317966993413762,0.99352233284237,0.09276201381326926,0.8712496618436466,0.6358787314184322,0.008604791206693158,Healty
1.5.jpg,7.946953774460846,0.9979989323751403,0.13232670140815084,0.8872795732976153,0.4804514625125616,0.01751035590556191,Healty
2.5.jpg,18.735224971064817,0.9937888858970119,0.11907533060320107,0.8586754112577695,0.6832997478505288,0.014178934358261633,Healty
1.3.jpg,10.00601593501984,0.9984952191700958,0.0796419809803473,0.8358359643635441,0.6566277075066136,0.006342845134474001,Healty
6.7.jpg,23.168869309080172,0.9936632604498125,0.09271054655011028,0.8604330603295532,0.7069846968337101,0.008595245441620165,Healty
10.6.jpg,5.149038938492063,0.9987206354515148,0.10661630958487328,0.804790509818248,0.6698278356481481,0.011367037469497543,Healty
17.5.jpg,18.29127190806878,0.9939976345044252,0.12264191416189431,0.8751932704513415,0.6787832754629628,0.01504103910929345,Healty
13.4.jpg,4.68367362747113,0.9989393081000674,0.14908630835532133,0.8832707400664666,0.47489287163910265,0.02222672733901795,Healty
25.2.jpg,19.972955935846556,0.9973320584316726,0.23590363644910037,0.7900837910674072,1.0481305803571428,0.055650525689909316,Healty
5.8.jpg,3.3310377378951923,0.9991868526999136,0.13380953950850694,0.8998387988307922,0.35690966308659816,0.017904992863478675,Healty
26.7.jpg,29.54647031545158,0.9919427124297583,0.09072174501794578,0.8842240130124008,0.7006101849661909,0.008230435019101168,Healty
16.1.jpg,10.810357762896825,0.9974688669675221,0.12551046732832843,0.8685821124815348,0.5978226273148146,0.015752877408975397,Healty
28.8.jpg,0.8834836929563493,0.9998159471904128,0.17894023856537708,0.8998206298624384,0.26818111359126984,0.03201960897783406,Healty
22.6.jpg,1.6874733405561275,0.9996347360909806,0.10905268833209487,0.8545952655457812,0.4197975483123345,0.011892488832457021,Healty
20.3.jpg,19.35382620469702,0.9952587627553847,0.09977902553099556,0.8859875418669736,0.6157812546799266,0.009955853935915065,Healty
13.8.jpg,2.41167397036451,0.9991715483223169,0.12498174199608697,0.8868819699916233,0.37724003879239565,0.015620435832376451,Healty
21.4.jpg,7.656074841644194,0.998579787236041,0.18238080933099238,0.8766291405884133,0.5473373606091935,0.0332627596122278,Healty
1.7.jpg,21.48805192149394,0.9965925756125641,0.08485222464011807,0.8333413355962008,0.8244551145336185,0.007199900026377061,Healty
24.1.jpg,13.607655423280423,0.9960495154062237,0.12385203449833102,0.8561470063556339,0.6685887896825395,0.015339326449375775,Healty
18.1.jpg,3.012285807828917,0.9990921782864505,0.17522846998780423,0.893843227279767,0.396974998734806,0.030705016694266805,Healty
1.4.jpg,2.19705894510582,0.9995387226031499,0.1155642385639161,0.8728454683279724,0.40606915509259256,0.013355093234857712,Healty
17.3.jpg,22.359028475642695,0.994856625922232,0.09322544819825036,0.87041744851842,0.6873240993110116,0.008690984191764662,Healty
27.5.jpg,3.2823819935531913,0.9990222938934757,0.1766746015010823,0.9069841586662313,0.3519552668732978,0.031213914815566235,Healty
3.7.jpg,24.909563420299495,0.9951605198913172,0.08399082590527876,0.8452421987349934,0.7865927655693734,0.007054458836250846,Healty
